adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/zTnpY0BXP6ytvV4ZMsAmsIEDmNM.jpg,"[18, 14]",481432,it,Lazzaro felice,"Purehearted teen Lazzaro is content living as a sharecropper in rural Italy, but an unlikely friendship with the marquise’s son will change his world.",2.7293,/j4x1O6G0cbchHQwNsEZ0DntOJMJ.jpg,2018-05-31,Happy as Lazzaro,False,7.395,763
False,/zd3p7GKopxH4rIjGoDQ1ugalUtx.jpg,"[16, 10751, 10770, 12, 14]",13382,en,Rudolph the Red-Nosed Reindeer,"Sam the snowman tells us the story of a young red-nosed reindeer who, after being ousted from the reindeer games because of his glowing nose, teams up with Hermey, an elf who wants to be a dentist, and Yukon Cornelius, the prospector. They run into the Abominable Snowman and find a whole island of misfit toys. Rudolph vows to see if he can get Santa to help the toys, and he goes back to the North Pole on Christmas Eve. But Santa's sleigh is fogged in. But when Santa looks over Rudolph, he gets a very bright idea...",5.0787,/xjAElUhXuc7zFJPj3qUHjcySNsE.jpg,1964-12-06,Rudolph the Red-Nosed Reindeer,False,7.395,641
False,/dSD9aSZtgFthuMQ78GD1QOQf54V.jpg,"[878, 16, 28, 18, 14]",487670,en,The Death of Superman,"When a hulking monster arrives on Earth and begins a mindless rampage, the Justice League is quickly called in to stop it. But it soon becomes apparent that only Superman can stand against the monstrosity.",6.0832,/y0uxSHaSFmt6XaBJgjkeLqe7aM.jpg,2018-07-24,The Death of Superman,False,7.392,819
False,/740KCabjLKjsrxvEakmmJtDtAGY.jpg,"[16, 10751, 14]",26963,en,The Secret of Kells,"Adventure awaits 12 year old Brendan who must fight Vikings and a serpent god to find a crystal and complete the legendary Book of Kells. In order to finish Brother Aiden's book, Brendan must overcome his deepest fears on a secret quest that will take him beyond the abbey walls and into the enchanted forest where dangerous mythical creatures hide. Will Brendan succeed in his quest?",4.4386,/vBymyj7QsXiW4TICD2JC5pAuBHO.jpg,2009-02-09,The Secret of Kells,False,7.39,774
False,/85z4NC6FzMQJBGlFqq8qQ2QByD4.jpg,"[9648, 16, 10751, 12, 35, 14]",20558,en,Scooby-Doo! in Where's My Mummy?,Scooby-Doo and the Mystery Inc. gang become involved in a supernatural mystery in Egypt.,4.592,/w9CpKZmgDfQvHe8WzFsvxxKCNyc.jpg,2005-05-13,Scooby-Doo! in Where's My Mummy?,False,7.4,415
False,/3wwMtp2F7CgmOl2EX9q1r2yjOEk.jpg,"[14, 35, 10749]",10849,en,The Purple Rose of Cairo,"Cecilia is a waitress in New Jersey, living a dreary life during the Great Depression. Her only escape from her mundane reality is the movie theatre. After losing her job, Cecilia goes to see 'The Purple Rose of Cairo' in hopes of raising her spirits, where she watches dashing archaeologist Tom Baxter time and again.",5.101,/ccsint43E44B7NGceEhVimD93Yt.jpg,1985-03-01,The Purple Rose of Cairo,False,7.4,1133
False,/3fChciF2G1wXHsyTfJD9y7uN6Il.jpg,"[27, 18, 14]",628,en,Interview with the Vampire,"A vampire relates his epic life story of love, betrayal, loneliness, and dark hunger to an over-curious reporter.",10.3466,/2162lAT2MP36MyJd2sttmj5du5T.jpg,1994-11-11,Interview with the Vampire,False,7.387,6371
False,/1aABIiqBY7yoQESE8qWvR0w9bJZ.jpg,"[16, 12, 878, 18, 10751, 14]",265712,ja,STAND BY ME ドラえもん,Sewashi and Doraemon find themselves way back in time and meet Nobita. It is up to Doraemon to take care of Nobita or else he will not return to the present.,4.8901,/wc7XQbfx6EIQqCuvmBMt3aisb2Y.jpg,2014-08-08,Stand by Me Doraemon,False,7.386,579
False,/qXctHIfK4LAgHH7qZiJJVCPclaY.jpg,"[16, 35, 10751, 14]",876716,en,Ciao Alberto,"With his best friend Luca away at school, Alberto is enjoying his new life in Portorosso working alongside Massimo—the imposing, tattooed, one-armed fisherman of few words—who's quite possibly the coolest human in the entire world as far as Alberto is concerned. He wants more than anything to impress his mentor, but it's easier said than done.",2.2443,/1SyTnaY0wte69oKdqxQLvxPT3hs.jpg,2021-11-11,Ciao Alberto,False,7.383,699
False,/ppdgXQ7rE9Whf3rCzaawQzmLVnx.jpg,"[12, 14, 18]",20312,en,Interstate 60,An aspiring painter meets various characters and learns valuable lessons while traveling across America.,5.7562,/zZQt29qBWLoVVOo8HEFzFYRAgYQ.jpg,2002-04-13,Interstate 60,False,7.4,762
False,/h84z0EDepDePgaoiW9QSj8RjXED.jpg,"[35, 9648, 10751, 14, 16]",17681,en,Scooby-Doo! and the Witch's Ghost,"Scooby-Doo and the Mystery Gang visit Oakhaven, Massachusetts to seek strange goings on involving a famous horror novelist and his ancestor who is rumored to have been a witch.",4.778,/7QdF1SKEIBtlkJZtkWM4qekwEtG.jpg,1999-10-05,Scooby-Doo! and the Witch's Ghost,False,7.4,474
False,/3WVhUsttN1uLyXhV33xCkONeFGA.jpg,"[16, 12, 14]",271706,zh,大鱼海棠,"Beyond the human realm, there is a magical race of beings who control the tides and the changing of the seasons. One of these beings, a young girl named Chun, seeks something more—she wants to experience the human world! At sixteen, she finally gets her chance and transforms into a dolphin in order to explore the world that has her fascinated. But she soon discovers that it's a dangerous place and nearly gets killed in a vortex. Luckily, her life is spared when a young boy sacrifices himself to save her. Moved by his kindness and courage, she uses magic to bring him back to life only to learn that this power comes at a serious price. On a new adventure, she’ll have to make her own sacrifices in order to protect his soul until it is ready to return to the human world.",1.938,/fRCdXh9MZutj1JJPZlUXMex6AuB.jpg,2016-07-08,Big Fish & Begonia,False,7.375,481
False,/vr6n6ZFUZvedvIlhfYcbCWcaKyW.jpg,"[12, 14, 28]",58,en,Pirates of the Caribbean: Dead Man's Chest,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",21.8297,/uXEqmloGyP7UXAiphJUu2v2pcuE.jpg,2006-07-06,Pirates of the Caribbean: Dead Man's Chest,False,7.4,17028
False,/u8DU5fkLoM5tTRukzPC31oGPxaQ.jpg,"[878, 12, 14]",83533,en,Avatar: Fire and Ash,"In the wake of the devastating war against the RDA and the loss of their eldest son, Jake Sully and Neytiri face a new threat on Pandora: the Ash People, a violent and power-hungry Na'vi tribe led by the ruthless Varang. Jake's family must fight for their survival and the future of Pandora in a conflict that pushes them to their emotional and physical limits.",329.658,/aabwWZWx6z1aYP4PX2ADvbDKktd.jpg,2025-12-17,Avatar: Fire and Ash,False,7.4,2650
False,/ePiMkavsyOIaimuYZEkbj7MyPD2.jpg,"[16, 10751, 14, 28, 12]",81188,en,Rise of the Guardians,"When an evil spirit known as Pitch lays down the gauntlet to take over the world, the immortal Guardians must join forces for the first time to protect the hopes, beliefs and imagination of children all over the world.",11.6876,/yfzmfWGjcmyugH6FZ13WcsUGiNj.jpg,2012-11-21,Rise of the Guardians,False,7.372,7103
False,/1Cuaush5VwesuZJzJRy2ptfalCh.jpg,"[10751, 14, 35, 12]",2899,fr,Astérix & Obélix : Mission Cléopâtre,History's favorite Gauls assist Queen Cleopatra when she wagers that the Egyptian people can build a palace for Julius Caesar in just three months.,6.6021,/5gMmVSkY7RAxb5xRk7ej7JVhXyl.jpg,2002-01-30,Asterix & Obelix: Mission Cleopatra,False,7.371,3754
False,/fq5r99Uwr0TEG1yc903LgPNNA9k.jpg,"[28, 12, 35, 18, 14, 16]",36728,ja,劇場版 NARUTO -ナルト- 疾風伝 火の意志を継ぐ者,"Ninjas with bloodline limits begin disappearing in all the countries and blame points toward the fire nation. By Tsunade's order, Kakashi is sacrificed to prevent an all out war. After inheriting charms left by Kakashi, Naruto fights through friends and foes to prevent his death while changing the minds of those who've inherited the will of fire.",5.1988,/pZzdFmztwmg0FUOVCMa7vReHhQN.jpg,2009-08-01,Naruto Shippuden the Movie: The Will of Fire,False,7.371,504
False,/xyXmtuvsoM5J3yNad0nvcetpBdY.jpg,"[12, 14, 28]",49051,en,The Hobbit: An Unexpected Journey,"Bilbo Baggins, a hobbit enjoying his quiet life, is swept into an epic quest by Gandalf the Grey and thirteen dwarves who seek to reclaim their mountain home from Smaug, the dragon.",18.1548,/yHA9Fc37VmpUA5UncTxxo3rTGVA.jpg,2012-12-12,The Hobbit: An Unexpected Journey,False,7.37,19516
False,/yRKyJJYIzfeiVDHBe4LXguPQCvD.jpg,"[14, 35]",4011,en,Beetlejuice,A newly dead New England couple seeks help from a deranged demon exorcist to scare an affluent New York family out of their home.,10.8504,/nnl6OWkyPpuMm595hmAxNW3rZFn.jpg,1988-03-30,Beetlejuice,False,7.368,8386
False,/kvdy0Ijjo2r9qsnWV4Dzx07qwnc.jpg,"[80, 14, 18]",1427,en,Perfume: The Story of a Murderer,"Jean-Baptiste Grenouille, born in the stench of 18th century Paris, develops a superior olfactory sense, which he uses to create the world's finest perfumes. However, his work takes a dark turn as he tries to preserve scents in the search for the ultimate perfume.",10.8292,/2wrFrUej8ri5EpjgIkjKTAnr686.jpg,2006-09-13,Perfume: The Story of a Murderer,False,7.367,4958
False,/g03h9TULzJZOoXA34Abp5LE7lvt.jpg,"[16, 14, 12]",876792,ja,劇場版 転生したらスライムだった件 紅蓮の絆編,"A long-running conspiracy is swirling over a mysterious power wielded by the Queen in Raja, a small country west of Tempest. When a slime who evolved into a Demon Lord named Rimuru Tempest crosses paths with Hiiro, a survivor of the Ogre race, an incredible adventure packed with new characters begins. The power of bonds will be put to the test!",5.8594,/xITip9n9uMAUA0TU6niMXU2tbh0.jpg,2022-11-25,That Time I Got Reincarnated as a Slime the Movie: Scarlet Bond,False,7.4,426
False,/hBIZ6RiaCWszRbdvHAy6RWHyT3c.jpg,"[16, 14, 28]",118406,ja,ROAD TO NINJA -NARUTO THE MOVIE-,"Sixteen years ago, a mysterious masked ninja unleashes a powerful creature known as the Nine-Tailed Demon Fox on the Hidden Leaf Village Konoha, killing many people. In response, the Fourth Hokage Minato Namikaze and his wife Kushina Uzumaki, the Demon Fox's living prison or Jinchūriki, manage to seal the creature inside their newborn son Naruto Uzumaki. With the Tailed Beast sealed, things continued as normal. However, in the present day, peace ended when a group of ninja called the Akatsuki attack Konoha under the guidance of Tobi, the mysterious masked man behind Fox's rampage years ago who intends on executing his plan to rule the world by shrouding it in illusions.",4.7337,/xLal6fXNtiJN6Zw6qk21xAtdOeN.jpg,2012-07-28,Road to Ninja: Naruto the Movie,False,7.362,1240
False,/uMBByiSDpgFwWVegAtwwnuzvogJ.jpg,"[14, 18, 10749]",297,en,Meet Joe Black,"Bill Parrish has it all - success, wealth and power. Days before his 65th birthday, he receives a visit from a mysterious stranger, Joe Black, who soon reveals himself as Death. In exchange for extra time, Bill agrees to serve as Joe's earthly guide. But will he regret his choice when Joe unexpectedly falls in love with Bill's beautiful daughter Susan?",12.7718,/fDPAjvfPMomkKF7cMRmL5Anak61.jpg,1998-11-12,Meet Joe Black,False,7.357,5689
False,/mLihPIodzSenkZtiUauDy4e9hRs.jpg,"[10751, 14, 10770, 12, 10402]",417320,en,Descendants 2,"When the pressure to be royal becomes too much for Mal, she returns to the Isle of the Lost where her archenemy Uma, Ursula's daughter, has taken her spot as self-proclaimed queen.",7.407,/qoNlGfQmFZ37Gf5fRBaCTLlOZtx.jpg,2017-07-21,Descendants 2,False,7.354,1763
False,/qGZXYHvWR1TYOU9raCaEABrj9m7.jpg,"[16, 10751, 14]",10144,en,The Little Mermaid,This colorful adventure tells the story of an impetuous mermaid princess named Ariel who falls in love with the very human Prince Eric and puts everything on the line for the chance to be with him. Memorable songs and characters -- including the villainous sea witch Ursula.,12.3176,/plcZXvI310FkbwIptvd6rqk63LP.jpg,1989-11-17,The Little Mermaid,False,7.4,8364
False,/oAIHUFNsNCVs7Rz9LNTINPFIa4j.jpg,"[14, 12, 16, 10751]",21348,fr,Kirikou et la sorcière,"Drawn from elements of West African folk tales, it depicts how a newborn boy, Kirikou, saves his village from the evil witch Karaba.",2.1645,/9RNrozaagFmpm6m0CP7q4XDcIXj.jpg,1998-12-09,Kirikou and the Sorceress,False,7.35,1154
